date,kg,
2023/1/1,,
2023/1/2,74.0 ,17.6 
2023/1/3,73.5 ,17.8 
2023/1/4,72.9 ,17.8 
2023/1/5,73.1 ,17.2 
2023/1/6,73.1 ,17.8 
2023/1/7,72.7 ,16.2 
2023/1/8,73.3 ,17.5 
2023/1/9,73.4 ,16.8 
2023/1/10,73.2 ,16.8 
2023/1/11,73.2 ,17.5 
2023/1/12,72.9 ,17.5 
2023/1/13,73.5 ,16.5 
2023/1/14,73.4 ,17.4 
2023/1/15,73.1 ,17.1 
2023/1/16,72.8 ,16.6 
2023/1/17,72.5 ,16.9 
2023/1/18,73.0 ,16.2 
2023/1/19,72.4 ,17.8 
2023/1/20,72.2 ,16.6 
2023/1/21,71.8 ,17.5 
2023/1/22,72.1 ,16.8 
2023/1/23,73.2 ,17.0 
2023/1/24,73.6 ,17.0 
2023/1/25,73.3 ,17.8 
2023/1/26,73.0 ,17.4 
2023/1/27,72.9 ,17.1 
2023/1/28,73.2 ,18.7 
2023/1/29,73.0 ,18.1 
2023/1/30,73.2 ,17.5 
2023/1/31,72.9 ,17.4 
2023/2/1,72.8 ,17.0 
2023/2/2,73.0 ,16.2 
2023/2/3,72.4 ,16.5 
2023/2/4,72.7 ,16.6 
2023/2/5,72.9 ,17.0 
2023/2/6,72.7 ,17.0 
2023/2/7,72.8 ,17.2 
2023/2/8,73.0 ,16.8 
2023/2/9,73.2 ,17.8 
2023/2/10,72.6 ,17.0 
2023/2/11,72.8 ,18.8 
2023/2/12,73.0 ,17.2 
2023/2/13,73.5 ,17.8 
2023/2/14,72.9 ,17.2 
2023/2/15,73.1 ,17.7 
2023/2/16,73.1 ,17.5 
2023/2/17,73.0 ,17.2 
2023/2/18,72.2 ,15.3 
2023/2/19,72.1 ,17.0 
2023/2/20,72.7 ,16.0 
2023/2/21,72.7 ,17.8 
2023/2/22,72.8 ,17.2 
2023/2/23,73.3 ,17.6 
2023/2/24,74.0 ,17.6 
2023/2/25,73.1 ,19.6 
2023/2/26,73.2 ,17.8 
